OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Wed 02 Mar 2016 16:26:05,Chicago,Chuck's: A Kerry Simon Kitchen,184,166,2,American,-87.624614,41.886436,"224 North Michigan AveChicago, IL  60601",3123346700,3.6928,10,20,32,53,51,/chucks-a-kerry-simon-kitchen,Wed 02 Mar 2016 15:51:34,Chicago,Chuck's - A Kerry Simon Kitchen,115,2,American,-87.62505,41.886616,"224 N Michigan Ave, Chicago, IL ",13123346700,390,3.9217,3,6,27,40,39,/Restaurant_Review-g35805-d6376092-Reviews-Chuck_s_A_Kerry_Simon_Kitchen-Chicago_Illinois.html
Wed 02 Mar 2016 16:26:16,Chicago,Rudy's Bar & Grille,762,53,2,American,-87.625458,41.881908,"69 E. Madison StChicago, IL  60603",3123328111,4.283,1,0,2,30,20,/rudys-bar-and-grille,Wed 02 Mar 2016 06:06:57,Chicago,Rudy's Bar and Grille,128,NotFound,American,-87.62566,41.881905,"69 E. Madison Street, Chicago, IL 60603 ",3123328111,225,4.171875,2,3,15,59,49,/Restaurant_Review-g35805-d2189629-Reviews-Rudy_s_Bar_and_Grille-Chicago_Illinois.html
Wed 02 Mar 2016 16:26:16,Chicago,Mastro's Steakhouse - Chicago,530,2274,4,Steakhouse,-87.629826,41.891599,"520 North DearbornChicago, IL  60654",3125215100,4.2803,41,156,240,529,1314,/mastros-steakhouse-chicago,Wed 02 Mar 2016 16:14:48,Chicago,Mastro's Steakhouse,419,4,American,-87.629974,41.891407,"520 North Dearborn Street, Chicago, IL 60654  (North Dearborn and Grand) ",3125215100,113,4.3619,9,20,34,104,253,/Restaurant_Review-g35805-d1961690-Reviews-Mastro_s_Steakhouse-Chicago_Illinois.html
Wed 02 Mar 2016 16:26:21,Chicago,Tavern on Rush,861,1499,3,Steak,-87.627914,41.901804,"1031 N. Rush St.Chicago, IL  60611",3126649600,4.3187,23,80,153,384,860,/tavern-on-rush,Wed 02 Mar 2016 17:16:48,Chicago,Tavern on Rush,636,3,American,-87.62777,41.9018,"1031 North Rush St, Chicago, IL 60611  (Bellevue) ",3126649600,80,4.1148,23,21,91,226,275,/Restaurant_Review-g35805-d477765-Reviews-Tavern_on_Rush-Chicago_Illinois.html
Wed 02 Mar 2016 16:27:16,Chicago,Stout Barrel House and Galley,829,93,2,American,-87.631298,41.893759,"642 N Clark StreetChicago, IL  60654",3124751390,3.6989,8,11,15,26,33,/stout-barrel-house-and-galley,Wed 02 Mar 2016 17:17:43,Chicago,Stout Barrel House and Galley,43,3,American,-87.63141,41.893757,"642 N. Clark Street, Chicago, IL 60654  (Erie) ",3124751390,969,3.8605,2,2,8,19,12,/Restaurant_Review-g35805-d3368914-Reviews-Stout_Barrel_House_and_Galley-Chicago_Illinois.html
Wed 02 Mar 2016 16:28:32,Chicago,ARTango South American Bistro,40,234,2,SouthAmerican,-87.673878,41.958508,"4217 N RavenswoodChicago, IL  60613",7736977479,4.2083,11,13,28,51,137,/artango-south-american-bistro,Wed 02 Mar 2016 06:51:34,Chicago,Artango Center,15,2,Peruvian,-87.67356,41.958153,"4217 N Ravenswood Ave, Chicago, IL 60613  (Irving Park & Montrose) ",7736977479,1241,4.2,1,0,1,6,7,/Restaurant_Review-g35805-d4959586-Reviews-Artango_Center-Chicago_Illinois.html
Wed 02 Mar 2016 16:29:04,Chicago,South Branch,815,431,2,ContemporaryAmerican,-87.63751,41.88033,"100 South Wacker DriveChicago, IL  60606",3125466177,3.8956,6,35,96,155,139,/south-branch,Thu 03 Mar 2016 15:39:22,Chicago,South Branch,60,2,American,-87.63784,41.880505,"100 South Wacker Drive, Chicago, IL 60606  (Monroe) ",13125466177,706,4.05,2,3,5,30,20,/Restaurant_Review-g35805-d2057436-Reviews-South_Branch-Chicago_Illinois.html
Wed 02 Mar 2016 16:29:34,Chicago,Sable Kitchen & Bar,770,1695,3,American,-87.628025,41.891017,"505 North State StreetChicago, IL  60654",3127559704,4.1913,29,94,218,536,817,/sable-kitchen-and-bar,Wed 02 Mar 2016 04:10:18,Chicago,Sable Kitchen & Bar,728,3,American,-87.627815,41.89105,"505 N State Street, Chicago, IL 60654  (Illinois) ",13127559704,53,4.4478021978,5,20,61,200,442,/Restaurant_Review-g35805-d1765571-Reviews-Sable_Kitchen_Bar-Chicago_Illinois.html
Wed 02 Mar 2016 16:30:13,Chicago,Devon Seafood Grill - Chicago,229,2474,3,Seafood,-87.627,41.897,"39 E. Chicago AvenueChicago, IL  60610",3124408660,4.1266,49,144,357,824,1106,/devon-seafood-grill-chicago,Wed 02 Mar 2016 15:35:19,Chicago,Devon Seafood Grill,329,4,American,-87.62664,41.89653,"39 East Chicago Avenue, Chicago, IL 60611  (Wabash) ",13124408660,143,4.1879,5,11,45,125,144,/Restaurant_Review-g35805-d670712-Reviews-Devon_Seafood_Grill-Chicago_Illinois.html
Wed 02 Mar 2016 16:30:26,Chicago,Catch 35 - Chicago,159,4609,3,Seafood,-87.628969,41.886597,"35 W. Wacker Dr.Chicago, IL  60601",3123463500,4.2735,48,231,488,1510,2363,/catch-35-chicago,Wed 02 Mar 2016 05:54:14,Chicago,Catch 35 Seafood Restaurant,677,3,American,-87.62908,41.886646,"35 W Wacker Dr, Chicago, IL 60601  (Dearborn St.) ",3123463500,32,4.33038348083,6,23,67,227,355,/Restaurant_Review-g35805-d427787-Reviews-Catch_35_Seafood_Restaurant-Chicago_Illinois.html
