Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 04:12:29,SanFran,Golden Gate Cafe,23,NotFound,American,-122.408615,37.789257,"Powell Street and Sutter Street, San Francisco, CA ",NotFound,1610,4.0435,1,1,4,7,10,/Restaurant_Review-g60713-d3576277-Reviews-Golden_Gate_Cafe-San_Francisco_California.html
Thu 03 Mar 2016 04:12:37,SanFran,Turtle Tower Restaurant,31,1,Asian,-122.41767,37.784,"645 Larkin St, San Francisco, CA 94109 ",14154093333,1972,3.8387,2,2,6,10,11,/Restaurant_Review-g60713-d850512-Reviews-Turtle_Tower_Restaurant-San_Francisco_California.html
Thu 03 Mar 2016 04:13:00,SanFran,Kitaro Sushi,30,2,Japanese,-122.480934,37.780094,"5723 Geary Blvd, San Francisco, CA 94121 ",4153862777,2955,3.4333,2,2,11,11,4,/Restaurant_Review-g60713-d367092-Reviews-Kitaro_Sushi-San_Francisco_California.html
Thu 03 Mar 2016 04:13:27,SanFran,King Of Thai Noodle,304,2,Asian,-122.407745,37.78659,"184 O'Farrell St, San Francisco, CA 94102 ",41567799914156779993,309,4.0099,8,17,41,136,102,/Restaurant_Review-g60713-d939330-Reviews-King_Of_Thai_Noodle-San_Francisco_California.html
Thu 03 Mar 2016 04:13:41,SanFran,Jack in the Box,5,NotFound,NotFound,-122.39845,37.79048,"42 1st St, San Francisco, CA 94105 ",4158827921,3119,3.0,1,0,3,0,1,/Restaurant_Review-g60713-d4243986-Reviews-Jack_in_the_Box-San_Francisco_California.html
Thu 03 Mar 2016 04:14:10,SanFran,Asiento,3,NotFound,Spanish,-122.409454,37.75779,"2730 21st Street, San Francisco, CA ",4158293375,2232,4.6667,0,0,0,1,2,/Restaurant_Review-g60713-d3567737-Reviews-Asiento-San_Francisco_California.html
Thu 03 Mar 2016 04:14:36,SanFran,SPQR,253,3,Italian,-122.43356,37.78732,"1911 Fillmore St, San Francisco, CA 94115-2706  (Between Bush & Pine) ",4157717779,141,4.3913,4,12,20,62,155,/Restaurant_Review-g60713-d916240-Reviews-SPQR-San_Francisco_California.html
Thu 03 Mar 2016 04:14:43,SanFran,Town Hall,261,3,American,-122.39507,37.789448,"342 Howard St, San Francisco, CA 94105  (Fremont St.) ",4159083900,370,3.9962,8,9,48,107,89,/Restaurant_Review-g60713-d353918-Reviews-Town_Hall-San_Francisco_California.html
Thu 03 Mar 2016 04:14:58,SanFran,Chabaa Thai,48,2,Asian,-122.48083,37.76325,"2123 Irving St, San Francisco, CA 94122 ",4157533347,1140,4.2708,1,1,3,22,21,/Restaurant_Review-g60713-d367058-Reviews-Chabaa_Thai-San_Francisco_California.html
Thu 03 Mar 2016 04:15:05,SanFran,Bay Blend Coffee and Tea,NotFound,NotFound,NotFound,-122.41954,37.76651,"1905 Mission St, San Francisco, CA 94103 ",4155588544,3661,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d5088801-Reviews-Bay_Blend_Coffee_and_Tea-San_Francisco_California.html
Thu 03 Mar 2016 04:15:23,SanFran,Viking's Giant Subs,36,NotFound,American,-122.42505,37.801247,"1418 Lombard St, San Francisco, CA ",NotFound,914,4.3056,1,0,2,17,16,/Restaurant_Review-g60713-d2474852-Reviews-Viking_s_Giant_Subs-San_Francisco_California.html
Thu 03 Mar 2016 04:15:50,SanFran,Om Shan tea,NotFound,NotFound,Vegan,-122.41865,37.76836,"233 14th street, San Francisco, CA 94103 ",NotFound,3613,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d3573875-Reviews-Om_Shan_tea-San_Francisco_California.html
Thu 03 Mar 2016 04:16:10,SanFran,Rita's Catering & Eatery,NotFound,NotFound,American,-122.41021,37.78011,"1068 Mission St, San Francisco, CA 94013 ",6504585105,3879,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d7342249-Reviews-Rita_s_Catering_Eatery-San_Francisco_California.html
Thu 03 Mar 2016 04:16:32,SanFran,Peking Wok Restaurant,NotFound,1,Chinese,-122.391365,37.73379,"4920 3rd St, San Francisco, CA 94124-2310 ",4158221818,3518,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d536644-Reviews-Peking_Wok_Restaurant-San_Francisco_California.html
