Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Fri 04 Mar 2016 05:40:17,NewYork,Chans Kitchen,2,NotFound,NotFound,-73.93341,40.85583,"4421 Broadway, New York City, NY 10040 ",2129420033,8537,3.0,0,1,0,1,0,/Restaurant_Review-g60763-d4687766-Reviews-Chans_Kitchen-New_York_City_New_York.html
Fri 04 Mar 2016 05:40:24,NewYork,Ai Fiori,532,4,Italian,-73.98371,40.75023,"400 5th Avenue, 2nd Level, New York City, NY 10018  (Between 36 st and 37st (2nd floor)) ",12126138660,262,4.312,8,25,67,125,307,/Restaurant_Review-g60763-d2005229-Reviews-Ai_Fiori-New_York_City_New_York.html
Fri 04 Mar 2016 05:40:45,NewYork,Niles Bar & Restaurant,394,4,American,-73.99164,40.748726,"371 7th Ave, New York City, NY 10001-3984  (Between 31st and 30th Street) ",2126290210,306,4.2253,3,9,52,163,168,/Restaurant_Review-g60763-d647243-Reviews-Niles_Bar_Restaurant-New_York_City_New_York.html
Fri 04 Mar 2016 05:40:54,NewYork,Ah Chihuahau,22,2,Mexican,-73.96594,40.75624,"330 E 53RD St, New York City, NY 10022-5220 ",2128886807,3982,4.0,1,0,4,10,7,/Restaurant_Review-g60763-d425685-Reviews-Ah_Chihuahau-New_York_City_New_York.html
Fri 04 Mar 2016 05:41:12,NewYork,Mother Burger,70,NotFound,American,-73.98787,40.762375,"329 W 49th St, New York City, NY 10019 ",2127578600,2162,3.9286,4,3,7,36,20,/Restaurant_Review-g60763-d1911257-Reviews-Mother_Burger-New_York_City_New_York.html
Fri 04 Mar 2016 05:41:22,NewYork,Sojourn,57,4,American,-73.9557,40.773384,"244 East 79th Street, New York City, NY 10021  (Between 2nd and 3rd Avenues) ",12125377745,2113,4.1754,0,1,8,28,20,/Restaurant_Review-g60763-d1468028-Reviews-Sojourn-New_York_City_New_York.html
Fri 04 Mar 2016 05:41:40,NewYork,Nadal One Deli,NotFound,NotFound,NotFound,-73.95451,40.82136,"3377 Broadway, New York City, NY 10031-7403 ",2124911733,9223,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d5084807-Reviews-Nadal_One_Deli-New_York_City_New_York.html
Fri 04 Mar 2016 05:41:46,NewYork,J's Grill,NotFound,NotFound,International,-73.9704,40.75158,"302 East 45th Street, New York City, NY 10017 ",2128089373,9629,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d543290-Reviews-J_s_Grill-New_York_City_New_York.html
Fri 04 Mar 2016 05:42:04,NewYork,Burger & Lobster,170,NotFound,Seafood,-73.99336,40.740154,"39 W. 19th Street, New York City, NY 10011 ",6468337442,49,4.4737,1,1,11,61,97,/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Fri 04 Mar 2016 05:42:16,NewYork,Chipotle Mexican Grill,85,1,Mexican,-73.99416,40.746166,"283 7th Avenue, New York City, NY 10001 ",2126456270,2011,4.1529,2,3,9,37,34,/Restaurant_Review-g60763-d1109626-Reviews-Chipotle_Mexican_Grill-New_York_City_New_York.html
