"OTCity","OTName","OTReviewCount","OTPrice","OTLongitude","OTLatitude","OT1","OT2","OT3","OT4","OT5","TAName","TAReviewCount","TAPrice","TACuisine","TALongitude","TALatitude","TARanking","TA1","TA2","TA3","TA4","TA5","OTMean","TAMean","TAP1","OTP1","cheat1","TAP5","OTP5","cheat5","CuisineN","GIndex0.5","GIndex1","TIndex0.5","TIndex1","TIndex1.5","distAbs","PIndex0.5","PIndex1","PIndex1.5","RIndex1500","RIndex2500","TOIndex1","roundedStar","GIndex1.5","TOIndex0.5","TOIndex1.5","GIndexG1","TIndexG1","TOIndexG1","PIndexG1","RIndexG1500","lTARC","TAQ","CuisineN.f","RIndex3500","TAP2","OTP2","TAP3","OTP3","TAP4","OTP4","RIndexG2500","starDist","samp"
"London","Mirror Room",32,3,-0.117716,51.517836,1,4,1,13,14,"Mirror Room",64,"4","British",-0.118094,51.517628,1964,1,5,5,12,41,4.1875,4.359375,0.015625,0.03030303,0.634701635187322,0.640625,0.42424242,0.721543539252838,"Anglo",1.93578197074612,2.25837064236336,2.64839079622773,3.20688567747651,3.3513865910871,0,2.06875648170277,2.50348209808123,2.64138256298977,1.4746327451039,1.61699753853384,2.0791669246432,4.5,2.33492772711638,1.79135699321961,2.13532915739138,2.29074386433088,51.5493419243172,2.13751604123904,2.46488621096942,1.44305434478957,4.15888308335967,0.765724975172807,"Anglo",1.6087473988021,0.078125,0.12121212,0.078125,0.03030303,0.1875,0.39393939,1.57065363784062,0,0
"London","Margaux",134,3,-0.182675,51.490969,1,10,20,61,68,"Margaux",89,"NotFound","French",-0.182675,51.49097,1388,0,4,7,31,47,4.96268657,4.35955056,0,0.00625,0.634781282206666,0.52808989,0.425,0.73584575531161,"Europe",0.520515704192159,0.608058762509493,0.729014773000488,0.736389412645609,0.828886389934911,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.179796871645726,0.290887774159838,0.738649636578563,4.5,0.775630341254171,0.618233080012896,0.934180009424398,0.512160404793052,0.972684168598364,0.62656122450468,0.0973641295874057,0.196512394356886,4.48863636973214,0.769041711531433,"Europe",0.595972157323869,0.04494382,0.0625,0.07865169,0.125,0.34831461,0.38125,0.388321208630853,0,0
"London","West Thirty Six",51,3,-0.207239,51.522761,14,12,22,12,20,"West Thirty Six",130,"NotFound","Steakhouse",-0.207274,51.52275,4758,18,17,12,16,69,4.94117647,3.82307692,0.13636364,0.175,0.558837849262649,0.52272727,0.25,0.912826476630352,"Anglo",0.131159288470329,0.177917802369819,0.296080892887971,0.411384723967707,0.636078076256911,0,0.114319140007984,0.0601436686253188,0.0303076302283397,-0.225499679731462,-0.321340021187575,0.241713363415266,4,0.321310320987099,0.202118863427862,0.383244964197013,0.110721770101052,0.972684168598364,0.170872055887659,0.0973641295874057,-0.214476725435762,4.86753445045558,-1.01204571305038,"Anglo",-0.167055539457188,0.12878788,0.15,0.09090909,0.275,0.12121212,0.15,-0.244647908800902,0,0
"London","Sports Bar & Grill Victoria",46,3,-0.144582,51.495881,4,2,24,36,14,"Sports Bar & Grill Victoria",134,"3","British",-0.14257,51.49655,8572,17,8,31,55,23,6.39130435,3.44029851,0.12686567,0.05,0.836527182203723,0.17164179,0.175,0.57850799334359,"Anglo",0.793922826129789,1.17760051091932,1.42545253354415,1.96259269536961,2.33402523441408,0,0.898415307546899,1.26071042230363,1.491610331759,0.0650201458600861,0.252470390894062,1.09714861836543,3.5,1.46309931067228,0.723454444654865,1.36344268438325,0.933444858151964,0.972684168598364,0.870490491674029,1.06224942490525,0.0459792922108176,4.89783979995091,-2.28235573840389,"Anglo",0.409841328931565,0.05970149,0.025,0.23134328,0.3,0.41044776,0.45,0.249583228755413,0,0
"London","The Exhibition Rooms",558,3,-0.07906,51.419782,10,25,58,272,195,"The Exhibition Rooms",188,"4","British",-0.079463,51.41985,5397,14,18,22,60,74,4.11648746,3.86170213,0.07446809,0.01785714,1.20709821420253,0.39361702,0.34821429,0.811787377033126,"Anglo",-0.0314362677242324,-0.208684439959575,0.125232643271961,-0.0160638547636209,-0.0627862474889993,0,0.306150705050865,0.165226043731582,0.116627935621075,-0.387692036836393,-0.734808408929076,-0.137355865589621,4,-0.285838772550606,0.0464599780591042,-0.211281505611815,-0.158776367760573,0.972684168598364,-0.0939518932678256,0.182895894466451,-0.374177707354992,5.23644196282995,-0.882692995063993,"Anglo",-1.00178067976759,0.09574468,0.04464286,0.11702128,0.10357143,0.31914894,0.48571429,-0.827799046873259,0,0
"London","Percy & Founders",154,3,-0.138075,51.518956,1,11,21,61,66,"Percy & Founders",133,"3","European",-0.137825,51.518764,864,2,7,9,41,76,4.28571429,4.41353383,0.01481481,0.00625,0.686830609347636,0.56296296,0.4125,0.872161869810934,"Europe",2.45780610034929,2.41954441656239,1.90710890127201,1.92042466047386,1.88623401611424,0,2.11948477297642,2.178661361544,2.17654809044668,2.11105455421684,1.92536779230764,2.66666866757395,4.5,2.37769196577313,2.67625375861478,2.62071494472125,2.49294184897858,0.972684168598364,2.7612946830518,2.23879433553268,2.21669243696389,4.89034912822175,0.9481454748972,"Europe",1.84406656300193,0.05185185,0.06875,0.06666667,0.13125,0.3037037,0.38125,1.95954979670127,0,0
"London","The Colony Grill Room",30,4,-0.152545,51.513277,0,0,6,12,12,"The Colony Grill Room",207,"NotFound","American",-0.152391,51.512955,630,2,8,30,69,99,4.2,4.24637681,0.00961538,0,0.684003140160942,0.47596154,0.4,0.702670235890304,"Anglo",1.5576946165658,1.82533681824061,2.1832673030457,2.62010957631545,2.82497967556566,0,0.114319140007984,0.0601436686253188,0.0303076302283397,1.52569227203081,1.68630054173677,1.75142108635342,4,1.95227689870193,1.49095194140963,1.85871797783235,1.78944498640745,0.972684168598364,1.73730003626543,0.0973641295874057,1.60905626185315,5.33271879326537,0.390933766648143,"Anglo",1.65754618354733,0.03846154,0,0.14423077,0.2,0.33173077,0.4,1.62320064487821,0,0
"London","The Jugged Hare",665,3,-0.090128,51.520719,13,57,119,313,178,"The Jugged Hare",695,"NotFound","British",-0.092167,51.521,513,16,52,92,272,269,3.94887218,4.0705036,0.02282454,0.01911765,0.72475586505836,0.38373752,0.26176471,1.69256830459445,"Anglo",1.16311331216563,1.53209826302098,1.76197144217521,2.30350876870108,2.55322592454234,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.39003969215365,0.821774716057981,1.32107998569608,4,1.71183778868387,0.981577834750516,1.49377978919347,1.45586122375502,0.972684168598364,1.24438707320156,0.0973641295874057,0.394452712886452,6.54391184556479,-0.189495096111295,"Anglo",1.00442312329161,0.07417974,0.08382353,0.13124108,0.175,0.38801712,0.46029412,0.750721281487265,0,0
"London","Zafferano Restaurant",587,3,-0.157656,51.498836,19,40,87,210,244,"Zafferano",529,"4","Italian",-0.157651,51.49909,509,20,20,70,153,269,4.12265758,4.20982987,0.03759398,0.03166667,0.741428641107597,0.5056391,0.40666667,1.32155396232302,"Italy",0.673598797941521,1.07595261600154,0.749122883018364,1.05761396231362,1.24765608590731,0,1.9633490306589,2.30165779335555,2.47659603079166,0.605859055017822,1.14754381732224,1.24061195795238,4,1.36108217017532,0.810165570173182,1.54961367051261,0.848195676371035,0.972684168598364,0.984949457392645,2.11872616287741,0.636200157659373,6.2709884318583,0.271531257737629,"Italy",1.28524976493338,0.03759398,0.06666667,0.13157895,0.145,0.28759398,0.35,1.03762035961775,0,0
"London","Orrery",3369,4,-0.151377,51.522159,4,29,145,1253,1969,"Orrery",673,"4","French",-0.151401,51.522167,106,6,16,46,163,445,4.55743544,4.53640416,0.00887574,0.00117647,1.08178690376877,0.65828402,0.57911765,2.71920908090865,"Europe",0.993976568542559,1.45511807439027,1.01976112827965,1.30913652644891,1.4533483567343,0,1.4587093901875,2.02229456850162,2.28300832496729,0.593253032188215,0.828631577193362,1.61647663989366,4.5,1.69055766360176,1.09307237249157,1.87857841258596,1.34801000954176,0.972684168598364,1.49571101736603,1.90177671232005,0.572938150523696,6.51174532964473,1.35278731064949,"Europe",0.769780791308622,0.02366864,0.00852941,0.06804734,0.04264706,0.24112426,0.36852941,0.684448270189149,0,0
"London","CAU St Katharine Docks",152,2,-0.07225,51.508279,13,10,33,53,51,"CAU St Kats Dock",202,"NotFound","Steakhouse",-0.07218,51.50809,725,6,9,27,58,104,3.94078947,4.24257426,0.02941176,0.08125,0.40818551217444,0.50980392,0.31875,1.0346395952479,"Anglo",0.641499304110896,0.865632504534411,1.13579012524216,1.47214176301254,1.73103992490953,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.218799702593444,0.266852135584182,0.753879126494944,4,1.0486439212964,0.590609717121673,0.910421815329785,0.80032913165481,0.972684168598364,0.698559564886603,0.0973641295874057,0.242936145984487,5.30826769740121,0.380983557572267,"Anglo",0.524724574069366,0.04411765,0.0625,0.13235294,0.20625,0.28431373,0.33125,0.352115407816265,0,0
"London","C London",119,4,-0.147708,51.511386,18,14,29,28,31,"C London",282,"4","Italian",-0.147834,51.511124,9094,47,40,63,62,70,3.36134454,3.24113475,0.16666667,0.15,0.743034855997691,0.24822695,0.25833333,0.555284460482599,"Italy",1.87840136051447,2.07746307337492,1.53339946153474,1.70637295125862,1.73959681763925,0,3.29006853567179,3.23268592260716,3.14547355374331,0.586479853346119,0.584308670208002,2.32402829130414,3,2.13744887305149,2.09384168189116,2.38513541557966,2.12430243918411,0.972684168598364,2.38398999675733,3.31357559971202,0.583040587947962,5.64190707093811,-2.94238627377034,"Italy",0.659550962773791,0.14184397,0.11666667,0.22340426,0.24166667,0.21985816,0.23333333,0.601447375762805,0,0
"London","German Gymnasium Restaurant",30,3,-0.125079,51.532927,0,1,2,15,12,"German Gymnasium",244,"NotFound","German",-0.124638,51.53338,958,10,19,42,82,98,4.26666667,4.06557377,0.03984064,0,0.79803112285437,0.39043825,0.4,0.563784139656506,"Europe",0.54946191362571,1.05096214332259,0.43387217531455,0.799244441464829,1.0514548289758,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.281722387873666,0.980041188328021,1.19057996549531,4,1.39058813304934,0.652958096984397,1.55528721430027,0.766346504106111,0.972684168598364,0.882173374180948,0.0973641295874057,0.317448100505245,5.4971682252932,-0.206078777904422,"Europe",1.27439002337306,0.07569721,0.03333333,0.16733068,0.06666667,0.32669323,0.5,0.89861919933866,0,0
"London","Marcus",925,4,-0.155264,51.50165,14,30,66,168,682,"Marcus",1249,"4","French",-0.156144,51.501953,147,16,69,123,201,845,4.70702703,4.44515612,0.01275917,0.01458333,0.594825027502682,0.6738437,0.71041667,0.0583276279004677,"Europe",0.74028995916241,1.21943088644979,0.85063215978002,1.21125184940435,1.38754021245971,0,1.97824797055108,2.43764293946647,2.60686140137765,0.62959284879465,0.904091826317277,1.38167274929029,4.5,1.50060619806739,0.86575564329697,1.68797509208245,1.03484592528561,0.972684168598364,1.17014101022664,2.34524922917671,0.601868647175069,7.13009851012558,1.05096430201459,"Europe",0.860211956077235,0.05502392,0.03125,0.09808612,0.06875,0.16028708,0.175,0.770939412131321,0,0
"London","Noor Jahan 2",87,2,-0.171507,51.513498,0,8,23,59,30,"NoorJahan 2",182,"4","Indian",-0.171508,51.5135,3706,6,12,24,69,71,5.4137931,4.02747253,0.03296703,0,0.770380332638956,0.39010989,0.25,0.834167634637492,"Asia",0.545826649891599,0.914035579956706,0.706424037811558,1.06889207386751,1.37795047415924,0,0.990355071463468,1.59987531086977,1.93951373060009,0.222921346711881,0.60247562971652,1.02122374446583,4,1.19821746493471,0.639224695164367,1.30409268123025,0.689396256778755,0.972684168598364,0.79573527391089,1.32071443389019,0.222673577699504,5.2040066870768,-0.33543149589081,"Asia",0.857408796498969,0.06593407,0.06666667,0.13186813,0.19166667,0.37912088,0.49166667,0.597423871615555,0,0
"London","Bombay Palace -  London",55,2,-0.16783,51.514258,0,2,22,32,24,"Bombay Palace",148,"3","Indian",-0.168028,51.51417,3301,10,7,17,42,72,5.78181818,4.07432432,0.06756757,0,0.835783810023184,0.48648649,0.3,0.834823515392644,"Asia",0.640119126785329,1.02702674366251,0.761477982282089,1.16833279986887,1.47984916748133,0,0.773353397679834,1.11647272174629,1.33772882905347,0.279629573589316,0.711781685896128,1.13538137713579,4,1.30587069292157,0.740195136425421,1.41008441889114,0.806268404217395,0.972684168598364,0.916656625462329,0.93030722541041,0.274890028871843,4.99721227376411,-0.179544887035419,"Asia",0.966582276942943,0.0472973,0.025,0.11486486,0.275,0.28378378,0.4,0.692115369499602,0,0
"London","Spaghetti House Charing Cross",291,2,-0.126709,51.510016,4,13,39,183,81,"Spaghetti House - St. Martin's Lane",406,"4","Mediterranean",-0.126946,51.509586,2271,30,36,63,129,148,4.41237113,3.81034483,0.07389163,0.0125,1.22618694983852,0.36453202,0.253125,1.10457790026155,"Europe",3.1070336955981,2.69825430058485,2.18038806551071,2.02412297378445,1.94675879229369,0,3.41284621534928,3.24287058493488,3.14620646978968,1.83824815002665,1.6260660058739,3.0307105503731,4,2.55576884775286,3.53444391059841,2.84323482724768,2.6715712805606,0.972684168598364,3.01054916587158,3.25085966542937,1.75954365982126,6.00635315960173,-1.05516328571251,"Europe",1.60885095201187,0.08866995,0.040625,0.15517241,0.121875,0.31773399,0.571875,1.73533161615725,0,0
"London","Mountain View Restaurant",27,2,0.004396,51.484899,1,0,2,12,12,"Mountain View Restaurant Greenwich",163,"NotFound","Indian",0.00402,51.484764,717,2,6,9,28,118,4.25925926,4.55828221,0.01226994,0.03703704,0.589488677206668,0.72392638,0.44444444,0.938171582954436,"Asia",-0.0313081882460571,-0.133862920346656,0.194854230670965,0.108042882407212,0.107235274811549,0,0.114319140007984,0.0601436686253188,0.0303076302283397,-0.359865858539246,-0.712830086175241,-0.0576105204393034,4.5,-0.167205947506979,0.0469968364732202,-0.091839441408635,-0.0949675944634572,0.972684168598364,-0.0169658220098912,0.0973641295874057,-0.343974807101413,5.09375020080676,1.42575551053925,"Asia",-0.972180181102949,0.03680982,0,0.05521472,0.07407407,0.17177914,0.44444444,-0.786352494496736,0,0
"London","Inamo - Covent Garden",59,3,-0.123155,51.513385,10,12,26,18,14,"Inamo Covent Garden",44,"4","Japanese",-0.123155,51.513386,12924,9,11,7,9,12,4.30508475,3.36363636,0.1875,0.125,0.738680818940247,0.25,0.175,0.633822834581655,"Asia",2.96730169966014,2.69657534588003,3.36274976562191,3.05130346148549,2.86531587020944,0,3.11079133295353,3.07348196529668,3.02271708795948,0.779509338756761,0.680826588467305,2.72413517969254,3.5,2.57846272000585,2.98155171961901,2.60546436338619,2.70107124627287,0.972684168598364,2.72182476952212,3.06827163867814,0.780495225335394,3.78418963391826,-2.53442770165942,"Asia",0.68489592128869,0.22916667,0.15,0.14583333,0.325,0.1875,0.225,0.709108578686112,0,0
"London","Chez Bruce",2388,4,-0.165678,51.446045,6,29,103,565,1697,"Chez Bruce",941,"4","French",-0.165606,51.44603,45,3,21,63,163,694,4.65577889,4.62911796,0.00317797,0.0025,0.696733388752676,0.73516949,0.70708333,1.20595832555788,"Europe",-0.0735024474041752,-0.0804433645963569,0.0645632548652432,0.029792655583,0.0447378987699913,0,0.252979455303729,0.250346744581564,0.279484739713632,-0.408621062096054,-0.727813091998268,0.0158872383837353,4.5,-0.0470212926328708,0.0264802121554057,0.0690981574337278,-0.0672179576371117,0.972684168598364,0.0159580424215854,0.23099537389161,-0.395606250174238,6.84694313958538,1.66124379200165,"Europe",-0.918558926748922,0.02224576,0.01208333,0.06673729,0.04291667,0.17266949,0.23541667,-0.784096231662188,0,0
"London","Bellaria Restaurant & Wine Bar",2578,3,-0.141133,51.519256,7,47,268,1283,995,"Bellaria Restaurant & Wine Bar",228,"3","Italian",-0.141132,51.519207,1768,2,11,36,66,113,4.27152832,4.21491228,0.00877193,0.00269231,0.876032103798094,0.49561404,0.38269231,2.70421752079089,"Italy",2.10378463288131,2.22430777272598,1.70653432794698,1.7812768457187,1.77555084002009,0,1.83389631497418,2.01589291520435,2.06971586139672,1.63159837905294,1.61924773694535,2.45630638284511,4,2.2464481968114,2.27873807286016,2.48663491225229,2.2899702716774,0.972684168598364,2.53747179055514,2.06199845643371,1.59060661533596,5.42934562895444,0.288114939530756,"Italy",1.65786159182459,0.04824561,0.01807692,0.15789474,0.10307692,0.28947368,0.49346154,1.64419614350709,0,0
"London","Thai Square Wig & Pen",95,3,-0.112473,51.5135,2,11,9,63,35,"Thai Square at the Wig & Pen",34,"3","Asian",-0.112586,51.513416,7641,5,3,4,15,7,5.03157895,3.47058824,0.14705882,0.01666667,0.875155986585315,0.20588235,0.29166667,0.50787365161019,"Asia",1.59423732211131,2.06869647321983,1.51256230538012,2.13594600271027,2.32839172940737,0,1.57590420423061,1.982818405399,2.069976206476,0.548353741278266,0.623794572493863,2.12263745651828,3.5,2.21096058774362,1.67810350920878,2.24650106335119,2.06574383150957,0.972684168598364,2.12709124224742,2.03410475316066,0.497944121207613,3.52636052461616,-2.17953691128651,"Asia",0.624723720022693,0.08823529,0.09166667,0.11764706,0.075,0.44117647,0.525,0.579768286014611,0,0
"London","Cucina Asellina",460,2,-0.118929,51.512205,20,44,81,217,99,"Cucina Asellina",437,"3","Italian",-0.118571,51.512096,1021,35,37,49,119,198,3.72608696,3.94050343,0.07990868,0.04338395,1.09311005501877,0.45205479,0.21475054,2.00490808992286,"Italy",2.24808256719966,2.38108241959834,1.76964614893223,1.82863359393572,1.81117743089954,0,2.220731730087,2.2799796601552,2.25087496663592,1.96899686034879,1.94608044554,2.63741593409566,4,2.39850904985742,2.49231676225904,2.64833511572792,2.40044090159233,0.972684168598364,2.6677003962257,2.32296013871329,2.06602391865495,6.07993319509559,-0.620670822732591,"Italy",1.86319374491613,0.08447489,0.09544469,0.11187215,0.17570499,0.2716895,0.47071584,1.94808423170499,0,0
